Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	0.0	2.4	4.0	4.1	2095	2.1	0.35	C_181:R_623	0.91
2000-01-02	3.4	0.4	2.2	5.9	3146	2.3	0.59	C_181:R_623	0.79
2000-01-03	0.0	0.3	4.0	4.3	2124	3.2	0.61	C_181:R_623	0.83
2000-01-04	0.0	3.0	7.4	8.1	2140	3.3	0.83	C_181:R_623	0.81
2000-01-05	0.0	1.2	4.1	10.8	5466	3.1	1.04	C_181:R_623	0.69
2000-01-06	0.4	-1.6	3.7	4.0	2176	2.7	0.67	C_181:R_623	0.78
2000-01-07	0.0	3.9	6.6	8.7	2652	2.3	0.67	C_181:R_623	0.82
2000-01-08	3.2	2.4	5.6	6.8	2217	2.8	0.68	C_181:R_623	0.83
2000-01-09	13.8	4.9	5.6	6.3	2239	1.7	0.35	C_181:R_623	0.92
2000-01-10	5.3	2.6	3.7	4.6	2262	1.7	0.37	C_181:R_623	0.90
2000-01-11	0.0	2.9	3.9	4.5	2286	2.2	0.37	C_181:R_623	0.91
2000-01-12	0.0	0.8	1.3	2.9	2312	2.7	0.41	C_181:R_623	0.89
2000-01-13	0.0	-1.0	0.8	3.7	3343	2.5	0.56	C_181:R_623	0.81
2000-01-14	0.0	-2.1	1.3	4.3	2366	1.5	0.55	C_181:R_623	0.76
2000-01-15	0.0	-2.8	0.6	1.3	2395	1.6	0.42	C_181:R_623	0.83
2000-01-16	0.0	-2.3	1.7	4.5	4863	2.5	0.66	C_181:R_623	0.75
2000-01-17	0.0	1.7	5.8	7.1	2456	5.4	1.05	C_181:R_623	0.80
2000-01-18	0.0	4.1	6.0	9.3	2875	5.3	1.11	C_181:R_623	0.80
2000-01-19	0.0	-2.3	2.4	5.6	4135	2.8	0.85	C_181:R_623	0.72
2000-01-20	0.0	0.8	4.3	5.8	2557	4.0	0.85	C_181:R_623	0.81
2000-01-21	0.0	2.9	4.7	5.7	2593	4.2	0.64	C_181:R_623	0.87
2000-01-22	0.0	2.2	4.0	4.3	2630	2.6	0.46	C_181:R_623	0.89
2000-01-23	0.0	-1.6	0.5	4.2	2668	2.1	0.65	C_181:R_623	0.78
2000-01-24	0.0	-7.8	-5.3	-1.3	7137	1.4	0.37	C_181:R_623	0.75
2000-01-25	0.0	-10.4	-6.1	-0.7	7162	1.9	0.55	C_181:R_623	0.66
2000-01-26	0.0	-11.0	-5.7	-0.3	7248	2.8	0.73	C_181:R_623	0.63
2000-01-27	0.0	-7.9	-2.8	1.1	7335	3.3	0.79	C_181:R_623	0.68
2000-01-28	0.0	-6.0	2.1	6.0	6090	4.2	1.30	C_181:R_623	0.61
2000-01-29	3.6	3.5	7.8	8.7	2920	6.5	1.21	C_181:R_623	0.80
2000-01-30	2.1	6.4	9.8	10.9	2966	5.8	1.19	C_181:R_623	0.83
2000-01-31	0.0	9.3	10.3	11.7	3513	5.9	0.90	C_181:R_623	0.89
2000-02-01	0.0	5.7	8.3	11.1	4452	3.6	1.08	C_181:R_623	0.80
2000-02-02	2.7	3.7	6.1	9.6	3174	3.8	1.11	C_181:R_623	0.79
2000-02-03	0.0	3.0	6.0	8.9	3935	3.8	1.08	C_181:R_623	0.78
2000-02-04	1.8	1.2	6.7	9.1	3407	3.8	1.26	C_181:R_623	0.73
2000-02-05	0.0	5.3	7.1	12.9	6561	3.4	1.36	C_181:R_623	0.74
2000-02-06	0.0	3.1	7.5	12.7	6183	2.7	1.36	C_181:R_623	0.69
2000-02-07	0.1	6.4	9.6	12.1	4247	4.3	1.30	C_181:R_623	0.79
2000-02-08	2.7	7.9	11.5	13.4	4040	5.4	1.47	C_181:R_623	0.80
2000-02-09	0.0	3.4	5.9	12.6	4790	5.9	1.92	C_181:R_623	0.70
2000-02-10	10.8	2.1	7.6	10.6	8060	4.0	1.47	C_181:R_623	0.71
2000-02-11	0.0	0.6	2.3	8.0	6269	2.6	1.05	C_181:R_623	0.74
2000-02-12	0.0	-3.5	3.5	7.5	8132	3.4	1.35	C_181:R_623	0.64
2000-02-13	2.5	0.7	2.9	6.2	3718	3.8	0.98	C_181:R_623	0.79
2000-02-14	0.9	-2.6	3.1	6.0	9002	2.9	1.11	C_181:R_623	0.70
2000-02-15	5.7	5.0	8.6	12.6	5234	3.2	1.41	C_181:R_623	0.74
2000-02-16	4.2	1.2	3.5	8.3	5830	3.9	1.26	C_181:R_623	0.75
2000-02-17	0.3	0.6	2.9	5.5	5615	2.9	0.87	C_181:R_623	0.81
2000-02-18	2.1	0.7	3.8	5.5	4033	3.0	0.86	C_181:R_623	0.81
2000-02-19	2.8	3.7	6.2	9.1	4404	2.6	1.01	C_181:R_623	0.80
2000-02-20	0.1	-0.8	1.7	6.0	5554	2.5	0.98	C_181:R_623	0.75
2000-02-21	0.1	-2.0	1.5	5.4	5791	1.4	0.82	C_181:R_623	0.73
2000-02-22	0.0	0.6	3.9	7.8	5402	1.7	0.95	C_181:R_623	0.75
2000-02-23	0.0	1.7	5.5	8.9	5720	1.5	0.97	C_181:R_623	0.75
2000-02-24	4.2	4.9	6.4	6.7	4437	3.2	0.69	C_181:R_623	0.91
2000-02-25	2.2	1.6	5.3	10.3	6942	3.4	1.51	C_181:R_623	0.71
2000-02-26	0.0	-2.1	4.5	10.4	11053	2.1	1.51	C_181:R_623	0.61
2000-02-27	0.1	-1.6	5.4	12.9	12760	2.7	1.95	C_181:R_623	0.57
2000-02-28	3.7	3.2	10.9	18.1	10570	4.3	2.83	C_181:R_623	0.58
2000-02-29	1.5	5.8	7.6	10.2	5299	4.0	1.19	C_181:R_623	0.83
2000-03-01	6.9	3.8	4.6	9.1	4951	4.1	1.23	C_181:R_623	0.80
2000-03-02	0.0	2.6	5.1	8.6	7261	4.3	1.36	C_181:R_623	0.78
2000-03-03	7.1	5.4	7.6	9.2	5014	6.0	1.19	C_181:R_623	0.85
2000-03-04	0.1	1.1	3.7	7.4	9905	4.5	1.41	C_181:R_623	0.77
2000-03-05	0.0	0.4	3.8	6.7	6931	3.7	1.23	C_181:R_623	0.77
2000-03-06	0.0	-0.3	3.5	11.3	15224	3.8	2.13	C_181:R_623	0.64
2000-03-07	0.6	-0.1	8.2	12.9	6035	4.7	2.24	C_181:R_623	0.61
2000-03-08	1.4	8.7	10.8	11.9	5392	5.4	1.24	C_181:R_623	0.87
2000-03-09	1.2	11.7	12.5	13.8	6018	5.7	1.19	C_181:R_623	0.90
2000-03-10	0.2	8.8	10.3	12.3	6838	2.9	1.23	C_181:R_623	0.86
2000-03-11	0.0	9.9	10.3	11.9	5623	4.8	1.06	C_181:R_623	0.90
2000-03-12	0.0	5.5	6.9	10.1	5701	1.7	1.06	C_181:R_623	0.82
2000-03-13	0.1	0.5	7.9	13.5	14104	1.9	2.01	C_181:R_623	0.61
2000-03-14	2.2	7.7	8.8	12.3	5857	3.9	1.40	C_181:R_623	0.83
2000-03-15	0.0	2.3	6.6	9.4	11030	4.7	1.75	C_181:R_623	0.75
2000-03-16	0.2	6.8	9.1	10.1	6208	3.9	1.17	C_181:R_623	0.86
2000-03-17	0.2	8.7	9.6	10.6	6093	3.4	1.01	C_181:R_623	0.91
2000-03-18	1.5	6.5	7.7	10.4	6172	2.0	1.13	C_181:R_623	0.84
2000-03-19	0.0	5.3	6.5	10.0	8134	2.3	1.30	C_181:R_623	0.82
2000-03-20	0.0	-0.2	5.9	11.2	13616	2.0	1.90	C_181:R_623	0.64
2000-03-21	0.0	-0.6	6.5	15.7	16160	1.6	2.33	C_181:R_623	0.54
2000-03-22	0.0	-0.2	8.9	18.4	18029	1.6	2.68	C_181:R_623	0.50
2000-03-23	0.1	2.6	12.1	18.6	14519	1.5	2.45	C_181:R_623	0.55
2000-03-24	3.7	7.5	12.5	17.6	9828	2.7	2.31	C_181:R_623	0.69
2000-03-25	0.7	7.8	10.8	16.7	10961	2.1	2.12	C_181:R_623	0.72
2000-03-26	0.6	5.4	7.3	11.3	8572	2.0	1.48	C_181:R_623	0.79
2000-03-27	0.0	2.6	7.4	11.8	9395	1.9	1.69	C_181:R_623	0.70
2000-03-28	0.0	2.8	4.3	7.7	8120	3.0	1.30	C_181:R_623	0.81
2000-03-29	18.6	0.7	8.1	12.0	8417	3.8	2.11	C_181:R_623	0.65
2000-03-30	14.4	4.0	5.0	8.4	7118	3.7	1.29	C_181:R_623	0.83
